Target_memory,Target_time,Neural_Network,Dataset,Batch_size,Occupied_memory,Memory_epsilon,One_iteration_inference_time,Iterations
40%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,2816.0MB,0.9135174751281738s,3940
40%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,2380.0MB,1.4427778720855713s,2495
40%,3600s,resnet18,CIFAR10,512,470.0MB,2664.0MB,1.0971384048461914s,3281
40%,3600s,LeNet5,MNIST,512,168.0MB,2966.0MB,0.3636972904205322s,9898
45%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,3207.75MB,0.914186954498291s,3937
45%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,2771.75MB,1.487177848815918s,2420
45%,3600s,resnet18,CIFAR10,512,470.0MB,3055.75MB,1.1018157005310059s,3267
45%,3600s,LeNet5,MNIST,512,168.0MB,3357.75MB,0.3712649345397949s,9696
50%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,3599.5MB,0.9287073612213135s,3876
50%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,3163.5MB,1.472116231918335s,2445
50%,3600s,resnet18,CIFAR10,512,470.0MB,3447.5MB,1.101248025894165s,3269
50%,3600s,LeNet5,MNIST,512,168.0MB,3749.5MB,0.3722341060638428s,9671
60%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,4383.0MB,0.9373767375946045s,3840
60%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,3947.0MB,1.4193089008331299s,2536
60%,3600s,resnet18,CIFAR10,512,470.0MB,4231.0MB,1.065786361694336s,3377
60%,3600s,LeNet5,MNIST,512,168.0MB,4533.0MB,0.3684988021850586s,9769
70%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,5166.5MB,0.9138753414154053s,3939
70%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,4730.5MB,1.4372563362121582s,2504
70%,3600s,resnet18,CIFAR10,512,470.0MB,5014.5MB,1.0645155906677246s,3381
70%,3600s,LeNet5,MNIST,512,168.0MB,5316.5MB,0.3587627410888672s,10034
80%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,5950.0MB,0.9089405536651611s,3960
80%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,5514.0MB,1.4032976627349854s,2565
80%,3600s,resnet18,CIFAR10,512,470.0MB,5798.0MB,1.063840627670288s,3383
80%,3600s,LeNet5,MNIST,512,168.0MB,6100.0MB,0.3609299659729004s,9974
90%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,6733.5MB,0.909198522567749s,3959
90%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,6297.5MB,1.4055657386779785s,2561
90%,3600s,resnet18,CIFAR10,512,470.0MB,6581.5MB,1.0625953674316406s,3387
90%,3600s,LeNet5,MNIST,512,168.0MB,6883.5MB,0.3661038875579834s,9833
95%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,7125.25MB,0.9388177394866943s,3834
95%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,6689.25MB,1.4334046840667725s,2511
95%,3600s,resnet18,CIFAR10,512,470.0MB,6973.25MB,1.1000823974609375s,3272
95%,3600s,LeNet5,MNIST,512,168.0MB,7275.25MB,0.3785896301269531s,9508
10%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,285.5MB,1.0274226665496826s,3503
10%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,-568.5MB,1.5682809352874756s,2295
10%,3600s,resnet18,CIFAR10,1024,750.0MB,33.5MB,1.1810197830200195s,3048
10%,3600s,LeNet5,MNIST,1024,188.0MB,595.5MB,0.36316943168640137s,9912
20%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,1069.0MB,1.0290803909301758s,3498
20%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,215.0MB,1.558790683746338s,2309
20%,3600s,resnet18,CIFAR10,1024,750.0MB,817.0MB,1.1775658130645752s,3057
20%,3600s,LeNet5,MNIST,1024,188.0MB,1379.0MB,0.3562490940093994s,10105
30%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,1852.5MB,1.0300092697143555s,3495
30%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,998.5MB,1.5840253829956055s,2272
30%,3600s,resnet18,CIFAR10,1024,750.0MB,1600.5MB,1.1827502250671387s,3043
30%,3600s,LeNet5,MNIST,1024,188.0MB,2162.5MB,0.370664119720459s,9712
40%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,2636.0MB,1.054347038269043s,3414
40%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,1782.0MB,1.528489351272583s,2355
40%,3600s,resnet18,CIFAR10,1024,750.0MB,2384.0MB,1.1978716850280762s,3005
40%,3600s,LeNet5,MNIST,1024,188.0MB,2946.0MB,0.35391950607299805s,10171
45%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,3027.75MB,1.0282299518585205s,3501
45%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,2173.75MB,1.594085693359375s,2258
45%,3600s,resnet18,CIFAR10,1024,750.0MB,2775.75MB,1.1638405323028564s,3093
45%,3600s,LeNet5,MNIST,1024,188.0MB,3337.75MB,0.35047411918640137s,10271
50%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,3419.5MB,1.0216052532196045s,3523
50%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,2565.5MB,1.567385196685791s,2296
50%,3600s,resnet18,CIFAR10,1024,750.0MB,3167.5MB,1.165257453918457s,3089
50%,3600s,LeNet5,MNIST,1024,188.0MB,3729.5MB,0.37023043632507324s,9723
60%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,4203.0MB,1.0553357601165771s,3411
60%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,3349.0MB,1.5880999565124512s,2266
60%,3600s,resnet18,CIFAR10,1024,750.0MB,3951.0MB,1.183079719543457s,3042
60%,3600s,LeNet5,MNIST,1024,188.0MB,4513.0MB,0.36250829696655273s,9930
70%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,4986.5MB,1.0746040344238281s,3350
70%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,4132.5MB,1.5920209884643555s,2261
70%,3600s,resnet18,CIFAR10,1024,750.0MB,4734.5MB,1.153954029083252s,3119
70%,3600s,LeNet5,MNIST,1024,188.0MB,5296.5MB,0.3540217876434326s,10168
80%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,5770.0MB,1.0282087326049805s,3501
80%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,4916.0MB,1.5360221862792969s,2343
80%,3600s,resnet18,CIFAR10,1024,750.0MB,5518.0MB,1.1563644409179688s,3113
80%,3600s,LeNet5,MNIST,1024,188.0MB,6080.0MB,0.3495490550994873s,10298
90%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,6553.5MB,1.0307888984680176s,3492
90%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,5699.5MB,1.5673904418945312s,2296
90%,3600s,resnet18,CIFAR10,1024,750.0MB,6301.5MB,1.186110496520996s,3035
90%,3600s,LeNet5,MNIST,1024,188.0MB,6863.5MB,0.3710780143737793s,9701
95%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,6945.25MB,1.0406560897827148s,3459
95%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,6091.25MB,1.5685296058654785s,2295
95%,3600s,resnet18,CIFAR10,1024,750.0MB,6693.25MB,1.1654984951019287s,3088
95%,3600s,LeNet5,MNIST,1024,188.0MB,7255.25MB,0.35996556282043457s,10000
10%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,-82.5MB,1.2699406147003174s,2834
10%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,-1768.5MB,1.7386751174926758s,2070
10%,3600s,resnet18,CIFAR10,2048,1310.0MB,-526.5MB,1.3654723167419434s,2636
10%,3600s,LeNet5,MNIST,2048,224.0MB,559.5MB,0.3859848976135254s,9326
20%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,701.0MB,1.2695693969726562s,2835
20%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,-985.0MB,1.7283039093017578s,2082
20%,3600s,resnet18,CIFAR10,2048,1310.0MB,257.0MB,1.3292794227600098s,2708
20%,3600s,LeNet5,MNIST,2048,224.0MB,1343.0MB,0.3878138065338135s,9282
30%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,1484.5MB,1.3073530197143555s,2753
30%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,-201.5MB,1.733414649963379s,2076
30%,3600s,resnet18,CIFAR10,2048,1310.0MB,1040.5MB,1.377408742904663s,2613
30%,3600s,LeNet5,MNIST,2048,224.0MB,2126.5MB,0.39899611473083496s,9022
40%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,2268.0MB,1.3106346130371094s,2746
40%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,582.0MB,1.731693983078003s,2078
40%,3600s,resnet18,CIFAR10,2048,1310.0MB,1824.0MB,1.3639788627624512s,2639
40%,3600s,LeNet5,MNIST,2048,224.0MB,2910.0MB,0.38547182083129883s,9339
45%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,2659.75MB,1.269866704940796s,2834
45%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,973.75MB,1.7190601825714111s,2094
45%,3600s,resnet18,CIFAR10,2048,1310.0MB,2215.75MB,1.3686707019805908s,2630
45%,3600s,LeNet5,MNIST,2048,224.0MB,3301.75MB,0.3888087272644043s,9259
50%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,3051.5MB,1.2762222290039062s,2820
50%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,1365.5MB,1.7800428867340088s,2022
50%,3600s,resnet18,CIFAR10,2048,1310.0MB,2607.5MB,1.3455729484558105s,2675
50%,3600s,LeNet5,MNIST,2048,224.0MB,3693.5MB,0.40779685974121094s,8827
60%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,3835.0MB,1.2753605842590332s,2822
60%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,2149.0MB,1.727921962738037s,2083
60%,3600s,resnet18,CIFAR10,2048,1310.0MB,3391.0MB,1.3571994304656982s,2652
60%,3600s,LeNet5,MNIST,2048,224.0MB,4477.0MB,0.3864614963531494s,9315
70%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,4618.5MB,1.2787039279937744s,2815
70%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,2932.5MB,1.7216832637786865s,2090
70%,3600s,resnet18,CIFAR10,2048,1310.0MB,4174.5MB,1.3564746379852295s,2653
70%,3600s,LeNet5,MNIST,2048,224.0MB,5260.5MB,0.3830242156982422s,9398
80%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,5402.0MB,1.2558002471923828s,2866
80%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,3716.0MB,1.792060136795044s,2008
80%,3600s,resnet18,CIFAR10,2048,1310.0MB,4958.0MB,1.3773670196533203s,2613
80%,3600s,LeNet5,MNIST,2048,224.0MB,6044.0MB,0.384366512298584s,9366
90%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,6185.5MB,1.287358283996582s,2796
90%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,4499.5MB,1.741943597793579s,2066
90%,3600s,resnet18,CIFAR10,2048,1310.0MB,5741.5MB,1.3644211292266846s,2638
90%,3600s,LeNet5,MNIST,2048,224.0MB,6827.5MB,0.3804154396057129s,9463
95%,3600s,mnasnet0_5,CIFAR10,2048,866.0MB,6577.25MB,1.2924487590789795s,2785
95%,3600s,mobilenet_v2,CIFAR10,2048,2552.0MB,4891.25MB,1.7192041873931885s,2093
95%,3600s,resnet18,CIFAR10,2048,1310.0MB,6133.25MB,1.3681163787841797s,2631
95%,3600s,LeNet5,MNIST,2048,224.0MB,7219.25MB,0.39392828941345215s,9138
10%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,-818.5MB,1.7191388607025146s,2094
10%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-4168.5MB,2.188777208328247s,1644
10%,3600s,resnet18,CIFAR10,4096,3454.0MB,-2670.5MB,1.7051198482513428s,2111
10%,3600s,LeNet5,MNIST,4096,366.0MB,417.5MB,0.5406765937805176s,6658
20%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,-35.0MB,1.6619396209716797s,2166
20%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-3385.0MB,2.193737030029297s,1641
20%,3600s,resnet18,CIFAR10,4096,3454.0MB,-1887.0MB,1.6956963539123535s,2123
20%,3600s,LeNet5,MNIST,4096,366.0MB,1201.0MB,0.5475900173187256s,6574
30%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,748.5MB,1.6178946495056152s,2225
30%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-2601.5MB,2.191981315612793s,1642
30%,3600s,resnet18,CIFAR10,4096,3454.0MB,-1103.5MB,1.7182073593139648s,2095
30%,3600s,LeNet5,MNIST,4096,366.0MB,1984.5MB,0.5368025302886963s,6706
40%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,1532.0MB,1.655775547027588s,2174
40%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-1818.0MB,2.1532375812530518s,1671
40%,3600s,resnet18,CIFAR10,4096,3454.0MB,-320.0MB,1.6860911846160889s,2135
40%,3600s,LeNet5,MNIST,4096,366.0MB,2768.0MB,0.5513923168182373s,6528
45%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,1923.75MB,1.599877119064331s,2250
45%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-1426.25MB,2.1191599369049072s,1698
45%,3600s,resnet18,CIFAR10,4096,3454.0MB,71.75MB,1.708089828491211s,2107
45%,3600s,LeNet5,MNIST,4096,366.0MB,3159.75MB,0.5363037586212158s,6712
50%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,2315.5MB,1.579566240310669s,2279
50%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-1034.5MB,2.2100932598114014s,1628
50%,3600s,resnet18,CIFAR10,4096,3454.0MB,463.5MB,1.7559316158294678s,2050
50%,3600s,LeNet5,MNIST,4096,366.0MB,3551.5MB,0.6138927936553955s,5864
60%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,3099.0MB,1.800954818725586s,1998
60%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,-251.0MB,2.124202251434326s,1694
60%,3600s,resnet18,CIFAR10,4096,3454.0MB,1247.0MB,1.6964688301086426s,2122
60%,3600s,LeNet5,MNIST,4096,366.0MB,4335.0MB,0.572364330291748s,6289
70%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,3882.5MB,1.6692767143249512s,2156
70%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,532.5MB,2.169562816619873s,1659
70%,3600s,resnet18,CIFAR10,4096,3454.0MB,2030.5MB,1.7050893306732178s,2111
70%,3600s,LeNet5,MNIST,4096,366.0MB,5118.5MB,0.5345478057861328s,6734
80%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,4666.0MB,1.638385534286499s,2197
80%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,1316.0MB,2.134493827819824s,1686
80%,3600s,resnet18,CIFAR10,4096,3454.0MB,2814.0MB,1.7643718719482422s,2040
80%,3600s,LeNet5,MNIST,4096,366.0MB,5902.0MB,0.5561366081237793s,6473
90%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,5449.5MB,1.6802947521209717s,2142
90%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,2099.5MB,2.1439974308013916s,1679
90%,3600s,resnet18,CIFAR10,4096,3454.0MB,3597.5MB,1.7384157180786133s,2070
90%,3600s,LeNet5,MNIST,4096,366.0MB,6685.5MB,0.5408544540405273s,6656
95%,3600s,mnasnet0_5,CIFAR10,4096,1602.0MB,5841.25MB,1.5631191730499268s,2303
95%,3600s,mobilenet_v2,CIFAR10,4096,4952.0MB,2491.25MB,2.1865105628967285s,1646
95%,3600s,resnet18,CIFAR10,4096,3454.0MB,3989.25MB,1.7719616889953613s,2031
95%,3600s,LeNet5,MNIST,4096,366.0MB,7077.25MB,0.5584347248077393s,6446
10%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,-2552.5MB,2.478433132171631s,1452
10%,3600s,resnet18,CIFAR10,8912,5064.0MB,-4280.5MB,2.668264627456665s,1349
10%,3600s,LeNet5,MNIST,8912,484.0MB,299.5MB,0.9062292575836182s,3972
20%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,-1769.0MB,2.370711326599121s,1518
20%,3600s,resnet18,CIFAR10,8912,5064.0MB,-3497.0MB,2.491586923599243s,1444
20%,3600s,LeNet5,MNIST,8912,484.0MB,1083.0MB,0.9244625568389893s,3894
30%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,-985.5MB,2.4950132369995117s,1442
30%,3600s,resnet18,CIFAR10,8912,5064.0MB,-2713.5MB,2.635809898376465s,1365
30%,3600s,LeNet5,MNIST,8912,484.0MB,1866.5MB,0.9326643943786621s,3859
40%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,-202.0MB,2.418506383895874s,1488
40%,3600s,resnet18,CIFAR10,8912,5064.0MB,-1930.0MB,2.5388009548187256s,1417
40%,3600s,LeNet5,MNIST,8912,484.0MB,2650.0MB,0.8940191268920898s,4026
45%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,189.75MB,2.4128358364105225s,1492
45%,3600s,resnet18,CIFAR10,8912,5064.0MB,-1538.25MB,2.6010000705718994s,1384
45%,3600s,LeNet5,MNIST,8912,484.0MB,3041.75MB,0.9117660522460938s,3948
50%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,581.5MB,2.440890312194824s,1474
50%,3600s,resnet18,CIFAR10,8912,5064.0MB,-1146.5MB,2.5991477966308594s,1385
50%,3600s,LeNet5,MNIST,8912,484.0MB,3433.5MB,0.8955552577972412s,4019
60%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,1365.0MB,2.4249022006988525s,1484
60%,3600s,resnet18,CIFAR10,8912,5064.0MB,-363.0MB,2.600698232650757s,1384
60%,3600s,LeNet5,MNIST,8912,484.0MB,4217.0MB,0.9041855335235596s,3981
70%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,2148.5MB,2.4435787200927734s,1473
70%,3600s,resnet18,CIFAR10,8912,5064.0MB,420.5MB,2.6129720211029053s,1377
70%,3600s,LeNet5,MNIST,8912,484.0MB,5000.5MB,0.9514889717102051s,3783
80%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,2932.0MB,2.5046136379241943s,1437
80%,3600s,resnet18,CIFAR10,8912,5064.0MB,1204.0MB,2.5489885807037354s,1412
80%,3600s,LeNet5,MNIST,8912,484.0MB,5784.0MB,0.8806581497192383s,4087
90%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,3715.5MB,2.3954365253448486s,1502
90%,3600s,resnet18,CIFAR10,8912,5064.0MB,1987.5MB,2.5248727798461914s,1425
90%,3600s,LeNet5,MNIST,8912,484.0MB,6567.5MB,0.8971858024597168s,4012
95%,3600s,mnasnet0_5,CIFAR10,8912,3336.0MB,4107.25MB,2.436434030532837s,1477
95%,3600s,resnet18,CIFAR10,8912,5064.0MB,2379.25MB,2.5388410091400146s,1417
95%,3600s,LeNet5,MNIST,8912,484.0MB,6959.25MB,0.9512784481048584s,3784
10%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,-2944.5MB,2.647361993789673s,1359
10%,3600s,resnet18,CIFAR10,10000,5660.0MB,-4876.5MB,2.7944955825805664s,1288
10%,3600s,LeNet5,MNIST,10000,526.0MB,257.5MB,0.9783625602722168s,3679
20%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,-2161.0MB,2.6265358924865723s,1370
20%,3600s,resnet18,CIFAR10,10000,5660.0MB,-4093.0MB,2.8286988735198975s,1272
20%,3600s,LeNet5,MNIST,10000,526.0MB,1041.0MB,0.9759325981140137s,3688
30%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,-1377.5MB,2.635077714920044s,1366
30%,3600s,resnet18,CIFAR10,10000,5660.0MB,-3309.5MB,2.735210418701172s,1316
30%,3600s,LeNet5,MNIST,10000,526.0MB,1824.5MB,1.0030584335327148s,3589
40%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,-594.0MB,2.6664395332336426s,1350
40%,3600s,resnet18,CIFAR10,10000,5660.0MB,-2526.0MB,2.738074779510498s,1314
40%,3600s,LeNet5,MNIST,10000,526.0MB,2608.0MB,0.9790880680084229s,3676
45%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,-202.25MB,2.5848886966705322s,1392
45%,3600s,resnet18,CIFAR10,10000,5660.0MB,-2134.25MB,2.7155954837799072s,1325
45%,3600s,LeNet5,MNIST,10000,526.0MB,2999.75MB,0.9813370704650879s,3668
50%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,189.5MB,2.6016838550567627s,1383
50%,3600s,resnet18,CIFAR10,10000,5660.0MB,-1742.5MB,2.7154393196105957s,1325
50%,3600s,LeNet5,MNIST,10000,526.0MB,3391.5MB,0.9966263771057129s,3612
60%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,973.0MB,2.612175703048706s,1378
60%,3600s,resnet18,CIFAR10,10000,5660.0MB,-959.0MB,2.8246395587921143s,1274
60%,3600s,LeNet5,MNIST,10000,526.0MB,4175.0MB,1.0126419067382812s,3555
70%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,1756.5MB,2.6661930084228516s,1350
70%,3600s,resnet18,CIFAR10,10000,5660.0MB,-175.5MB,2.695875644683838s,1335
70%,3600s,LeNet5,MNIST,10000,526.0MB,4958.5MB,0.982762336730957s,3663
80%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,2540.0MB,2.6468935012817383s,1360
80%,3600s,resnet18,CIFAR10,10000,5660.0MB,608.0MB,2.743825912475586s,1312
80%,3600s,LeNet5,MNIST,10000,526.0MB,5742.0MB,0.9796888828277588s,3674
90%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,3323.5MB,2.6629412174224854s,1351
90%,3600s,resnet18,CIFAR10,10000,5660.0MB,1391.5MB,2.7077159881591797s,1329
90%,3600s,LeNet5,MNIST,10000,526.0MB,6525.5MB,0.9981324672698975s,3606
95%,3600s,mnasnet0_5,CIFAR10,10000,3728.0MB,3715.25MB,2.705317735671997s,1330
95%,3600s,resnet18,CIFAR10,10000,5660.0MB,1783.25MB,2.7464070320129395s,1310
95%,3600s,LeNet5,MNIST,10000,526.0MB,6917.25MB,0.9994194507598877s,3602
